readable,hscore,review
i love this cd.  this group is so talented.,7.5,i love this cd.  this group is so talented.
"good on amazon.com for making these available, bad on the sellers for not listing a table of contents.  for reference, here is one for this collection:. . r812-11 (warner special products opcd -2801) - the singers and songwriters collection: 1970-1974 - various artists [2001] disc 1: it never rains in southern california - albert hammond/me and you and a dog named - boo lobo/we gotta get you a woman - todd rundgren/use me - bill withers/it's all over now - ry cooder/make it with you - bread/i'd like to teach the world to sing (in perfect harmony) - new seekers/we may never pass this way (again) - seals & crofts/i just can't help believing - b. j. thomas/one toke over the line - brewer & shipley/love song - anne murray/amazing grace- judy collins; disc 2: you wear it well - rod stewart/dixie chicken - little feat/friend of the devil - grateful dead/never ending song of love - delaney & bonnie & friends/danny's song - loggins & messina/you don't mess around with jim - jim croce/an old fashioned love song - three dog night/i honestly love you - olivia newton-john/i need you - america/castles in the air - don mclean/moonshadow- cat stevens/wold - harry chapin",5,"good on amazon.com for making these available, bad on the sellers for not listing a table of contents.  for reference, here is one for this collection:

r812-11 (warner special products opcd -2801) - the singers and songwriters collection: 1970-1974 - various artists [2001] disc 1: it never rains in southern california - albert hammond/me and you and a dog named - boo lobo/we gotta get you a woman - todd rundgren/use me - bill withers/it's all over now - ry cooder/make it with you - bread/i'd like to teach the world to sing (in perfect harmony) - new seekers/we may never pass this way (again) - seals & crofts/i just can't help believing - b. j. thomas/one toke over the line - brewer & shipley/love song - anne murray/amazing grace- judy collins; disc 2: you wear it well - rod stewart/dixie chicken - little feat/friend of the devil - grateful dead/never ending song of love - delaney & bonnie & friends/danny's song - loggins & messina/you don't mess around with jim - jim croce/an old fashioned love song - three dog night/i honestly love you - olivia newton-john/i need you - america/castles in the air - don mclean/moonshadow- cat stevens/wold - harry chapin"
well guess you never heard. of the funk brothers.  they are the group. behind the music.  history. was made. with. motown. &. the funk. brothers.  great music.,7,well guess you never heard. of the funk brothers.  they are the group. behind the music.  history. was made. with. motown. &. the funk. brothers.  great music.
"love shakira!  this is one of her greatest songs, and so much fun to dance!  very energizing to exercise to.",8,"love shakira!  this is one of her greatest songs, and so much fun to dance!  very energizing to exercise to."
"mojo magazine presents:. ""the white album recovered volume 1"". september 2008 cd inside magazine for 1 month only and never produced again.. 17 songs from 'the white album"" tributed by several artists.. . tracklist:. 1. liz green - back in the u.s.s.r  3:20. 2. lau - dear prudence  4:29. 3. big linda. glass onion  3:33. 4. gabriella cilmi - ob-la-di,ob-la-da  2:03. 5. suppliers, the. wild honey pie  0:54. 6. dawn kinnard & ron sexsmith with suppliers - the continuing story of bungalow bill  3:35. 7. virgin passages -while my guitar gently weeps 5:43. 8. aidan smith - happiness is a warm gun 2:39. 9. vashti bunyan & max richter - martha my dear 2:45. 10. phil campbell - i'm so tired  2:08. 11. julie fowlis - blackbird  2:40. 12. pumajaw - piggies 2:53. 13. johnny flynn & sussex -. rocky raccoon  3:14. 14. field music - don't pass me by  4:06. 15. babel - why don't we do it in the road?  1:39. 16. joan - as police woman featuring violet. i will  3:42. 17. a girl called eddy.- julia  3:04",4.5,"mojo magazine presents:
“the white album recovered volume 1”
september 2008 cd inside magazine for 1 month only and never produced again.
17 songs from ‘the white album” tributed by several artists.

tracklist:
1. liz green - back in the u.s.s.r  3:20
2. lau - dear prudence  4:29
3. big linda. glass onion  3:33
4. gabriella cilmi - ob-la-di,ob-la-da  2:03
5. suppliers, the. wild honey pie  0:54
6. dawn kinnard & ron sexsmith with suppliers - the continuing story of bungalow bill  3:35
7. virgin passages -while my guitar gently weeps 5:43
8. aidan smith - happiness is a warm gun 2:39
9. vashti bunyan & max richter - martha my dear 2:45
10. phil campbell - i'm so tired  2:08
11. julie fowlis - blackbird  2:40
12. pumajaw - piggies 2:53
13. johnny flynn & sussex -. rocky raccoon  3:14
14. field music - don't pass me by  4:06
15. babel - why don't we do it in the road?  1:39
16. joan - as police woman featuring violet. i will  3:42
17. a girl called eddy.- julia  3:04"
"bath & body works holiday magic a festive music collection 2001, a standard line of christmas songs by various artists. 1) barry manilow (duet with exposé)  jingle bells, 2) dean martin  winter wonderland, 3) perry como the christmas song, 4) aretha franklin  joy to the world, 5) eurythmics  miracle of love, 6)  pointer sisters  santa claus is coming to town, 7) george winston  carol of the bells, 8) beach boys  little saint nick. audio quality is good. nothing special here, wish there was more songs.",6.5,"bath & body works holiday magic a festive music collection 2001, a standard line of christmas songs by various artists. 1) barry manilow (duet with exposé)  jingle bells, 2) dean martin  winter wonderland, 3) perry como the christmas song, 4) aretha franklin  joy to the world, 5) eurythmics  miracle of love, 6)  pointer sisters  santa claus is coming to town, 7) george winston  carol of the bells, 8) beach boys  little saint nick. audio quality is good. nothing special here, wish there was more songs."
"as much as i hated the first album, that's how much i liked this one. the songs selected are great!",7,"as much as i hated the first album, that's how much i liked this one. the songs selected are great!"
dr graham was my piano professor in college. he is a phenomenal pianist! it was wonderful to find this cd and hear him again.,8,dr graham was my piano professor in college. he is a phenomenal pianist! it was wonderful to find this cd and hear him again.
"this is successful, telling close to home tales in a roots rock, americana vein...however, only northern lights stands out and demands repeated listens",7,"this is successful, telling close to home tales in a roots rock, americana vein...however, only northern lights stands out and demands repeated listens"
"it's ok. basic principles.  i passed this on to two other people who found it redundant. it's ok, but way pricey for thr content amount.",6,"it's ok. basic principles.  i passed this on to two other people who found it redundant. it's ok, but way pricey for thr content amount."
"a mellow sound of christian ""inspirational"" music. nicely done! reminds me of a cross between kathie sullivan and christine wyrtzen.. i'm playing several selections on my internet stream, faith song radio.",7,"a mellow sound of christian &#34;inspirational&#34; music. nicely done! reminds me of a cross between kathie sullivan and christine wyrtzen.
i'm playing several selections on my internet stream, faith song radio."
this is the rare original version of 'obsession' which the group animotion had a commercial hit with.  this version is stunning.  it was also voted a 'screamer of the week' on the famed wlir radio station back in 1984.,6.5,this is the rare original version of 'obsession' which the group animotion had a commercial hit with.  this version is stunning.  it was also voted a 'screamer of the week' on the famed wlir radio station back in 1984.
expected more cheer and upbeat music.,5,expected more cheer and upbeat music.
"after recently discovering the pretty things to be one of the most underrated 60's bands of all time, i found out about their alternate projects using the name 'electric banana'.  all i can say is wow.. . the intensity and livliness of these songs is estounding.  phil may (vocals on most of the tracks) is in top form and the sound quality is superb.  if your a fan of rock music from any era, track down this cd or you'll miss out on a fabulous release.",9,"after recently discovering the pretty things to be one of the most underrated 60's bands of all time, i found out about their alternate projects using the name 'electric banana'.  all i can say is wow.

the intensity and livliness of these songs is estounding.  phil may (vocals on most of the tracks) is in top form and the sound quality is superb.  if your a fan of rock music from any era, track down this cd or you'll miss out on a fabulous release."
i love this cd. it's perfect for someone who loves country/southern gospel music. a true gem,8,i love this cd. it's perfect for someone who loves country/southern gospel music. a true gem
the album is beautiful but it didn't bring the photocards :(,5,the album is beautiful but it didn't bring the photocards :(
"i's an o.k. cd. i was expecting a little more lively praise and worship music. some of the songs have good lyrics, just wasn't what i expected.",5,"i's an o.k. cd. i was expecting a little more lively praise and worship music. some of the songs have good lyrics, just wasn't what i expected."
"i got all the inclusions inside which is great. the outside is a bit dented which is fine, it is barely noticeable! everything arrived safely and i pulled my og biases!! love ateez <3",7.5,"i got all the inclusions inside which is great. the outside is a bit dented which is fine, it is barely noticeable! everything arrived safely and i pulled my og biases!! love ateez &lt;3"
"this lp had no hit singles and if your unfamiliar with it, it is a strange sounding album at first listen. but after some repeated listens i found myself liking it more and more. it is very hard to catorigize. not quite rock, not quite soul, not folk, yet it has all these elements within it. although you can tell this lp was recorded in the late 60s, it has a timeless quality to it that makes it very revelent today. i would re3commend this album to anyone. my only advice would be to make sure you listen to it quite a few times. it has a strange hypnotic quality that grabs after repeated spins",8,"this lp had no hit singles and if your unfamiliar with it, it is a strange sounding album at first listen. but after some repeated listens i found myself liking it more and more. it is very hard to catorigize. not quite rock, not quite soul, not folk, yet it has all these elements within it. although you can tell this lp was recorded in the late 60s, it has a timeless quality to it that makes it very revelent today. i would re3commend this album to anyone. my only advice would be to make sure you listen to it quite a few times. it has a strange hypnotic quality that grabs after repeated spins"
"i got a text from my daughter about this cd and she was telling me to get it. so i went on amazon to preview the cd and was really happy that i did. all the songs are great and the ones i liked on luther vandross cd's. this cd is well done and nice to listen too. i am considering buying other cd's by ruben. if you like good singing without over riding instrumentals, this one is it....",7,"i got a text from my daughter about this cd and she was telling me to get it. so i went on amazon to preview the cd and was really happy that i did. all the songs are great and the ones i liked on luther vandross cd's. this cd is well done and nice to listen too. i am considering buying other cd's by ruben. if you like good singing without over riding instrumentals, this one is it...."
high recommend!,8,high recommend!
"eric bibb here navigates the blues from just about every emotional angle and makes plenty of room for uplifting moments besides.  tough, traditionally-flavored tracks- ""silver spoon"", ""turner station""- share space with a moody, jazz-tinged take- ""god's mojo"", good-time double entendre- ""chocolate man"" and a fierce piece of talkin' blues- ""rosewood"".  the inspirational fare is bolstered by guests the blind boys of alabama and ruthie foster. bibb and linda tillery channel the staple singers- right down to the 70's stax records production sound on ""remember the ones"".  it seems a few real gems always squeeze in before year's end.  this is one of those.",8.5,"eric bibb here navigates the blues from just about every emotional angle and makes plenty of room for uplifting moments besides.  tough, traditionally-flavored tracks- “silver spoon”, “turner station”- share space with a moody, jazz-tinged take- “god’s mojo”, good-time double entendre- “chocolate man” and a fierce piece of talkin’ blues- “rosewood”.  the inspirational fare is bolstered by guests the blind boys of alabama and ruthie foster. bibb and linda tillery channel the staple singers- right down to the 70’s stax records production sound on “remember the ones”.  it seems a few real gems always squeeze in before year’s end.  this is one of those."
awesome album by two amazing guitarists,5,awesome album by two amazing guitarists
"for 'civil war buffs' and for musicians, this recording if one of the finest i have come across.  not only the 'popular' styles of music for the time period, but also fife & drum music as well as music played during the battles.. i was amazed at the sounds produced by the period instruments, and the wonderful musicians who performed on them.. if you want great music - this is one of the best.",7,"for 'civil war buffs' and for musicians, this recording if one of the finest i have come across.  not only the 'popular' styles of music for the time period, but also fife & drum music as well as music played during the battles.
i was amazed at the sounds produced by the period instruments, and the wonderful musicians who performed on them.
if you want great music - this is one of the best."
another sensational salsoul disco classic makes it to cd! with extra remixes and excellent remastering! we need more classic disco to be remastered and reissued!,9,another sensational salsoul disco classic makes it to cd! with extra remixes and excellent remastering! we need more classic disco to be remastered and reissued!
it's really wonderful. worth it.,8,it's really wonderful. worth it.
no comments good or bad,4,no comments good or bad
"he's got an instrumental on here that's killer. his drummer sings several songs (including the title track) with a voice that's actually more appealing than lead vocalist thackery. good mix with exceptional guitar work, something we've come to expect from this band. if the price is right, buy this cd.",7,"he's got an instrumental on here that's killer. his drummer sings several songs (including the title track) with a voice that's actually more appealing than lead vocalist thackery. good mix with exceptional guitar work, something we've come to expect from this band. if the price is right, buy this cd."
