readable,hscore,review
these are great. already used them this weekend and love them. i highly recommend getting a set. i am going to order a second set for my rv.,8,these are great. already used them this weekend and love them. i highly recommend getting a set. i am going to order a second set for my rv.
i needed just one after i sheared the star wheel mount from a loose blade bolt.,7,i needed just one after i sheared the star wheel mount from a loose blade bolt.
"these are identical to the original, which were falling apart after 4 years.. . they fit perfectly on my e-310, and today is a great day to test them out.. . i almost bought the ""official"" replacements at $65, but these are the same thing for less that half the price!",7.5,"these are identical to the original, which were falling apart after 4 years.

they fit perfectly on my e-310, and today is a great day to test them out.

i almost bought the “official” replacements at $65, but these are the same thing for less that half the price!"
i've been using this product for two years and i have been well pleased with the results.,9,i’ve been using this product for two years and i have been well pleased with the results.
great item for blowing out sprinkler system,6,great item for blowing out sprinkler system
the front door has a huge crack in it. not sure what happened. i'm trying to get in touch with masterbuilt now.,6,the front door has a huge crack in it. not sure what happened. i'm trying to get in touch with masterbuilt now.
i thought i was going to have to rewind my empty spools myself.  these come at a great price so i don't have to.,7,i thought i was going to have to rewind my empty spools myself.  these come at a great price so i don't have to.
1st day impression: of course it doesn't look anywhere close to the renderings on amazon listing. the material is not very thick. i was thinking something like grill cover but it's definitely thinner. it fits over the hot springs cover cradle rather tightly. the skirt could have been a few inches longer. didn't think it's necessary to clarify but there's been some geniuses out there using this cover instead of the actual insulating hot tub hard cover. this is just dust/water/uv shield. at least that's the expectation. i will update later to see how it performs and holds up.,5.5,1st day impression: of course it doesn’t look anywhere close to the renderings on amazon listing. the material is not very thick. i was thinking something like grill cover but it’s definitely thinner. it fits over the hot springs cover cradle rather tightly. the skirt could have been a few inches longer. didn’t think it’s necessary to clarify but there’s been some geniuses out there using this cover instead of the actual insulating hot tub hard cover. this is just dust/water/uv shield. at least that’s the expectation. i will update later to see how it performs and holds up.
absolutely the best pole i have ever used to vacuum the pool.  nice finish on pole and feels very sturdy.  very happy with purchase.,9,absolutely the best pole i have ever used to vacuum the pool.  nice finish on pole and feels very sturdy.  very happy with purchase.
"you can never hold the company responsible too much if you buy seeds you have never grown yourself, plus, your knowledge may be limited in nature. so, what i am going to do is leave a better feedback here for sixcity. things happen along the way of shipping items to overseas, and that is what happened here. i got my refund, and finally my seeds after waiting at least 3 months for them, and for that, i am really happy.. i do not purchase items only to get the money back later on down the road. it defeats the purpose of ordering the seeds in the first place. the only downfall i have seen with sixcity is that they do not keep track of pkgs they ship nor do they communicate very well with the people who buy their items. both must change to have better ratings in the future. other than that, i am greatly looking forward to growing this particular plant especially if i got the blue one pictured here. i will post pictures of all of my items on my blog and i will come back to link them here, so you can see the beautiful items that i waited for all of these months..",7.5,"you can never hold the company responsible too much if you buy seeds you have never grown yourself, plus, your knowledge may be limited in nature. so, what i am going to do is leave a better feedback here for sixcity. things happen along the way of shipping items to overseas, and that is what happened here. i got my refund, and finally my seeds after waiting at least 3 months for them, and for that, i am really happy.. i do not purchase items only to get the money back later on down the road. it defeats the purpose of ordering the seeds in the first place. the only downfall i have seen with sixcity is that they do not keep track of pkgs they ship nor do they communicate very well with the people who buy their items. both must change to have better ratings in the future. other than that, i am greatly looking forward to growing this particular plant especially if i got the blue one pictured here. i will post pictures of all of my items on my blog and i will come back to link them here, so you can see the beautiful items that i waited for all of these months.."
"very upright in its growth, deep green in color and a beautiful addition to my garden.  i will buy more.",8,"very upright in its growth, deep green in color and a beautiful addition to my garden.  i will buy more."
these are great when you want to cook something long in the weber grill the coals stay to each side and you place the meat in the middle .,7,these are great when you want to cook something long in the weber grill the coals stay to each side and you place the meat in the middle .
"about what i expected,not a bad unit",4.5,"about what i expected,not a bad unit"
"looked good, ceramic seemed like good quality... but both ropes on both pots broke (a couple weeks apart), and of course both pots smashed into a million pieces. they had only been hanging for about 6 weeks. lame.",6,"looked good, ceramic seemed like good quality... but both ropes on both pots broke (a couple weeks apart), and of course both pots smashed into a million pieces. they had only been hanging for about 6 weeks. lame."
this is a really powerful blower while at the same time very easy to use - lightweight and easily to maneuver in tight spaces.,8,this is a really powerful blower while at the same time very easy to use - lightweight and easily to maneuver in tight spaces.
product looks really nice on our front stoop.,6.5,product looks really nice on our front stoop.
only replacement i could find for our wal-mart umbrella. it's a little loose but not overly detrimental to the function and operation. a tad bit pricey but not when you compare it to replacing the entire thing. overall pleased. as far as durability only time will tell,7,only replacement i could find for our wal-mart umbrella. it's a little loose but not overly detrimental to the function and operation. a tad bit pricey but not when you compare it to replacing the entire thing. overall pleased. as far as durability only time will tell
"i bought the exact model about five years ago,it suits me as i can move it easily.it rusted out a year ago,i made it work through the summer not knowing what to replace it with.i didn't want some huge stainless monster bbq on the front porch full time.. the choice was easy,go with what almost worked the last time.i have this in the basement,it is also an emergency cook station in tornado season.. how the quality of chinese products can decline is a conundrum,it's been marginal since we started trading with them,but this bbq just isn't as good out of the box as my last one.the latch on the cook box doesn't line up well enough to make it easy to close,which i seldom do.just the same,why?i have not cooked on it yet,i suppose it will rust out as the last one did.so you don't buy it ,you have a rental unit or lease.i will say in tennessee any ferrous metal will rust sooner than some other parts of the country.. if you need a portable bbq easy to take on a trip, or one easy to move i do like this and recommend it considering the price.",7,"i bought the exact model about five years ago,it suits me as i can move it easily.it rusted out a year ago,i made it work through the summer not knowing what to replace it with.i didn't want some huge stainless monster bbq on the front porch full time.
the choice was easy,go with what almost worked the last time.i have this in the basement,it is also an emergency cook station in tornado season.
how the quality of chinese products can decline is a conundrum,it's been marginal since we started trading with them,but this bbq just isn't as good out of the box as my last one.the latch on the cook box doesn't line up well enough to make it easy to close,which i seldom do.just the same,why?i have not cooked on it yet,i suppose it will rust out as the last one did.so you don't buy it ,you have a rental unit or lease.i will say in tennessee any ferrous metal will rust sooner than some other parts of the country.
if you need a portable bbq easy to take on a trip, or one easy to move i do like this and recommend it considering the price."
"i think its very pretty! i bought it as a gift for a friend, the only downside is that tbe crystals aren't clear, but other than that they look great in the window! for the price it is what i expected.",6,"i think its very pretty! i bought it as a gift for a friend, the only downside is that tbe crystals aren't clear, but other than that they look great in the window! for the price it is what i expected."
"as currently sold, this package's heat plates does not fit char-griller 3001. also the screws that secure the burners to the large brackets are not included, and the holes in the small brackets do not fit the screws they included to mount them to the grill body.. . however, the seller was wonderful and made things right by sending heat plates that do fit the grill, and they are working on repackaging to fix the other issues so future buyers don't face the same problem.",5,"as currently sold, this package's heat plates does not fit char-griller 3001. also the screws that secure the burners to the large brackets are not included, and the holes in the small brackets do not fit the screws they included to mount them to the grill body.

however, the seller was wonderful and made things right by sending heat plates that do fit the grill, and they are working on repackaging to fix the other issues so future buyers don't face the same problem."
nice flag. color and size is good.  just not good for high winds. but great for rain due to the material.  will recommend it as a good buy.,7,nice flag. color and size is good.  just not good for high winds. but great for rain due to the material.  will recommend it as a good buy.
"i haven't had the chance to use these in the garden yet, but i have worn them out shopping during this period of increasing covid cases.  i don't even have to wear a scary mask — a few taps of my fingertips on anything hard and the masses keep farther than 6 feet away from me.  these gloves could be a lifesaver!",7.5,"i haven’t had the chance to use these in the garden yet, but i have worn them out shopping during this period of increasing covid cases.  i don’t even have to wear a scary mask — a few taps of my fingertips on anything hard and the masses keep farther than 6 feet away from me.  these gloves could be a lifesaver!"
"i bought this strictly to monitor the water level of my plants since i tend to over water and kill them, and for this purpose it works great. unfortunately the light and soil functions  of the meter do not appear to work at all",6,"i bought this strictly to monitor the water level of my plants since i tend to over water and kill them, and for this purpose it works great. unfortunately the light and soil functions  of the meter do not appear to work at all"
i own 6 units. 4 at home and 2 at work. found them at walmart first. you can use just one sensor for multiple units. so i have one sensor outside and display's on all four floors of my house. i give these as gifts all the time now. best inexpensive techno gadget yet. people with battery issues are just unlucky i guess. it takes at least a year before i need to change any battery's. usually longer. buy it. you will not regret it. i just bought another today for my home studio area.,7.5,i own 6 units. 4 at home and 2 at work. found them at walmart first. you can use just one sensor for multiple units. so i have one sensor outside and display's on all four floors of my house. i give these as gifts all the time now. best inexpensive techno gadget yet. people with battery issues are just unlucky i guess. it takes at least a year before i need to change any battery's. usually longer. buy it. you will not regret it. i just bought another today for my home studio area.
we received our umbrella this week and it's a beauty. feels solid without being too heavy. the navy is a deep rich color.. since our deck gets full sun we hope the sunbrella material lasts longer than previous umbrellas!,7,we received our umbrella this week and it’s a beauty. feels solid without being too heavy. the navy is a deep rich color.. since our deck gets full sun we hope the sunbrella material lasts longer than previous umbrellas!
can't really say anything bad here.. . i ordered this as a preventative measure - i don't currently have grub problems - so i can't really comment on its effectiveness.. . i'm sure like most scott's products it will live up to its name.,8,"can't really say anything bad here.

i ordered this as a preventative measure - i don't currently have grub problems - so i can't really comment on its effectiveness.

i'm sure like most scott's products it will live up to its name."
"nicely made, looks and works great! however, i had to cut it down 12"" to fit under the roof of my deck. this turned out to be challenging. the stainless steel tube was very tough to cut, a new hacksaw barely scratched it, but i had a dremel cutoff saw with a metal cutting blade that worked well. i also needed a drill press and some patience to redrill the four screw holes. be forewarned ! much harder than another reviewers description, i think it's a different model (his instructions don't make sense). would be great if shorter tube came with it, or a least was available. it's better looking and more stable shortened",6.5,"nicely made, looks and works great! however, i had to cut it down 12” to fit under the roof of my deck. this turned out to be challenging. the stainless steel tube was very tough to cut, a new hacksaw barely scratched it, but i had a dremel cutoff saw with a metal cutting blade that worked well. i also needed a drill press and some patience to redrill the four screw holes. be forewarned ! much harder than another reviewers description, i think it’s a different model (his instructions don’t make sense)
would be great if shorter tube came with it, or a least was available
it’s better looking and more stable shortened"
bought this grill a year ago. it will not get hot enough to grill a steak. it may be ok to keep food warm but it wont grill!,3,bought this grill a year ago. it will not get hot enough to grill a steak. it may be ok to keep food warm but it wont grill!
just so cute to hold an airplant or a carnation or other flower bud or bloom...or even a note. perfect 'favor' at peoples plates for parties or stocking stuffers,6.5,just so cute to hold an airplant or a carnation or other flower bud or bloom...or even a note. perfect 'favor' at peoples plates for parties or stocking stuffers
"i purchased liba bbq gas grill cover 7107 in may of 2020 to replace one that was coming apart after several good years of use.  the replacement was of good quality.  it was constructed of what appeared to be a durable, lightly ""rubberized"" material.  it gave the perception that it would be fairly water resistant, and likely hold up to the elements for at least 18-24 months.. . several months later, my recently purchased replacement was destroyed by a hailstorm.  i purchased a new cover (the exact same model) to replace it.  the replacement that arrived was vastly different.  the material felt much lighter and thinner.  the ""rubberized"" feel was no more.  while the new material may have been just as good, it did not appear to be as water resistant.  overall, it felt much cheaper.. . i promptly returned the replacement, and again received a cover which was comparable to the one that had been destroyed.  to further my confusion, i noted that the informational sheet which accompanied the new cover was identical to the one i was returning with exception to the stated warranty period.  oddly, what i perceived to be the better quality cover has a 12 month warranty, while the ""lesser"" quality cover supposedly has a 36 month warranty.  while i can only surmise the reason for this, i would assume that it has less to do with the material type, and more to do with a general reduction in the warranty period of the product.  three years is a long time for any grill cover to withstand the elements without failing somewhere.. . bottom line:  this is a decent product.  both fit the grill very well.  the cover made of the ""better"" quality material seems comparable to an oem cover that i had many years ago (at 1/2 to 1/3 of the price).  that said, it seems that the cover you receive is a roll of the dice.",7,"i purchased liba bbq gas grill cover 7107 in may of 2020 to replace one that was coming apart after several good years of use.  the replacement was of good quality.  it was constructed of what appeared to be a durable, lightly “rubberized” material.  it gave the perception that it would be fairly water resistant, and likely hold up to the elements for at least 18-24 months.

several months later, my recently purchased replacement was destroyed by a hailstorm.  i purchased a new cover (the exact same model) to replace it.  the replacement that arrived was vastly different.  the material felt much lighter and thinner.  the “rubberized” feel was no more.  while the new material may have been just as good, it did not appear to be as water resistant.  overall, it felt much cheaper.

i promptly returned the replacement, and again received a cover which was comparable to the one that had been destroyed.  to further my confusion, i noted that the informational sheet which accompanied the new cover was identical to the one i was returning with exception to the stated warranty period.  oddly, what i perceived to be the better quality cover has a 12 month warranty, while the “lesser” quality cover supposedly has a 36 month warranty.  while i can only surmise the reason for this, i would assume that it has less to do with the material type, and more to do with a general reduction in the warranty period of the product.  three years is a long time for any grill cover to withstand the elements without failing somewhere.

bottom line:  this is a decent product.  both fit the grill very well.  the cover made of the “better” quality material seems comparable to an oem cover that i had many years ago (at 1/2 to 1/3 of the price).  that said, it seems that the cover you receive is a roll of the dice."
great quality product.,5,great quality product.
perfect flag to advertise our lemonade stand. very nice. we attached it to a large 1' wood dowel.,5,perfect flag to advertise our lemonade stand. very nice. we attached it to a large 1' wood dowel.
