readable,hscore,review
always interesting information found inside!,7,always interesting information found inside!
"we love magnifikid. it is not super cheap but well worth it if you have younger kiddos (of reading age). it's basically a missal with all the mass responses and readings of that sunday, plus little bonus items here and there (my favorite is ""this week's spotlight"", which basically goes in depth into a portion of the readings - keeping it at kid-level, of course -, but there are also craft projects, mazes, info about a particular saint or order, a comic strip, etc).. . i also love that they have a glossary of harder terms at the bottom of the page (ex. ""patriarchs"", ""homage"", what it means to ""fear"" the lord, etc). oh, and i like their weekly suggestions for morning and evening prayer, which are always simple and short.. . my kid has learned a lot, and i'm excited for kiddo #2 to start reading it when he's a bit further along reading-skills wise. also, to be honest, i'll always flip through it after sunday mass and sometimes i learn something, too!. . i highly recommend this to all catholic families who have kids age 6-10 or so. we will continue or subscription for years to come.",9,"we love magnifikid. it is not super cheap but well worth it if you have younger kiddos (of reading age). it's basically a missal with all the mass responses and readings of that sunday, plus little bonus items here and there (my favorite is &#34;this week's spotlight&#34;, which basically goes in depth into a portion of the readings - keeping it at kid-level, of course -, but there are also craft projects, mazes, info about a particular saint or order, a comic strip, etc).

i also love that they have a glossary of harder terms at the bottom of the page (ex. &#34;patriarchs&#34;, &#34;homage&#34;, what it means to &#34;fear&#34; the lord, etc). oh, and i like their weekly suggestions for morning and evening prayer, which are always simple and short.

my kid has learned a lot, and i'm excited for kiddo #2 to start reading it when he's a bit further along reading-skills wise. also, to be honest, i'll always flip through it after sunday mass and sometimes i learn something, too!

i highly recommend this to all catholic families who have kids age 6-10 or so. we will continue or subscription for years to come."
"i used to love this magazine for their honest and impartial interviews, articles, and critiques.  times have changed. it's a big fan magazine. the most annoying thing is that i never, ever get my magazine on time. they have a 'must watch' section sunday through saturday for television (+ netflix. hulu, prime) shows that they reccomend. if i get the magazine before thursday, it's a miracle. i've complained to the company, and of course, they threw  the usps under the bus....funny, my other periodicals have no problem arriving on time. the magazine is just not what it used to be and they have no regard for customer service. its too bad, i used to look forward to my magazine arriving every week. every issue seems to increasingly disappoint me more and more every week. unless things drastically change, and they get better writers or rehire the writers they used to have, i will not be renewing my subscription after years of being a faithful reader.",4,"i used to love this magazine for their honest and impartial interviews, articles, and critiques.  times have changed. it's a big fan magazine. the most annoying thing is that i never, ever get my magazine on time. they have a 'must watch' section sunday through saturday for television (+ netflix. hulu, prime) shows that they reccomend. if i get the magazine before thursday, it's a miracle. i've complained to the company, and of course, they threw  the usps under the bus....funny, my other periodicals have no problem arriving on time. the magazine is just not what it used to be and they have no regard for customer service. its too bad, i used to look forward to my magazine arriving every week. every issue seems to increasingly disappoint me more and more every week. unless things drastically change, and they get better writers or rehire the writers they used to have, i will not be renewing my subscription after years of being a faithful reader."
"when i read reviews about problems with renewal notices followed by credit warnings, and multiple copies of back issues to those re-subscribing, i backed off. i am not sure why neither amazon nor rodale bothers to address/explain complaints here, but it doesn't inspire my confidence nor help them sell subscriptions. my 85-year-old mom subscribed to prevention and another digest size magazine. the other magazine sold her a subscription out to 2017, using predatory, confusing renewal notices to elderly with bad memory, and still doing it, despite my requests to stop. the magazines might be under financial stress, but these predatory subscription practices make a smart buyer run the other way. do you really think we don't notice?  amazon, why are you supporting this poor customer service?? can amazon at least try to explain and reassure concerns?",4,"when i read reviews about problems with renewal notices followed by credit warnings, and multiple copies of back issues to those re-subscribing, i backed off. i am not sure why neither amazon nor rodale bothers to address/explain complaints here, but it doesn't inspire my confidence nor help them sell subscriptions. my 85-year-old mom subscribed to prevention and another digest size magazine. the other magazine sold her a subscription out to 2017, using predatory, confusing renewal notices to elderly with bad memory, and still doing it, despite my requests to stop. the magazines might be under financial stress, but these predatory subscription practices make a smart buyer run the other way. do you really think we don't notice?  amazon, why are you supporting this poor customer service?? can amazon at least try to explain and reassure concerns?"
great price. love it.,7.5,great price. love it.
this works great.a well liked product for scale helicopter hobby.!!charging the lipo batteries for remote control heli's does a great job.,7.5,this works great.a well liked product for scale helicopter hobby.!!charging the lipo batteries for remote control heli's does a great job.
"can't believe i got it for this price!  very happy,  you can't miss with oprah winfrey's great magazine- woo hoo!",6.5,"can't believe i got it for this price!  very happy,  you can't miss with oprah winfrey's great magazine- woo hoo!"
a great magazine with great ideas on do it yourself projects.  especially love the halloween decorations to make.,7.5,a great magazine with great ideas on do it yourself projects.  especially love the halloween decorations to make.
"i got a free subscription through a promotion, but when i flipped through it, i wasn't just uninterested, i was actively annoyed by it. the majority seems to be about the rich, and lifestyles of excess. hideously expensive (and often hideous) jewelry, and houses and gardens which are so over the top they aren't enjoyable. i thought this might be nice homes and fashion, but not celebrity-level nonsense. i'd prefer something a bit more down to earth. i'm cancelling the rest of the subscription.",5,"i got a free subscription through a promotion, but when i flipped through it, i wasn't just uninterested, i was actively annoyed by it. the majority seems to be about the rich, and lifestyles of excess. hideously expensive (and often hideous) jewelry, and houses and gardens which are so over the top they aren't enjoyable. i thought this might be nice homes and fashion, but not celebrity-level nonsense. i'd prefer something a bit more down to earth. i'm cancelling the rest of the subscription."
".. i've been a subscriber and enthusiastic supporter for over 30 years. shining the spotlight on product quality is a worthy mission and they have decades of excellence behind them.. . as of 2012, i felt cr had really lost its way. cr seems to be on the rebound, but some of my disappointments still hold true.. . examples:. .   - their mailings are as bogus as the companies they spotlight. misleading early renewal notices, 'important news' emails that are pure promos, sweepstakes nonsense, etc. i've received over 12 'last notice' offers for website access.. .  - amazon reviews are often more useful. 50x the number of products covered and sometimes more detailed insight and data on each product. (other products really need lab testing. cr excels at that.). .  - website entrance fee is out of line. $19/year for magazine subscribers ($12 first year teaser).. .  - iphone 4 was rated 'unacceptable' due to the antenna issue that many other phones also had, and was easily solved with a bumper or case (which 90% of people use anyway).. .  - reliability survey methods: seriously flawed. if your vacuum dies after 3 years, there is no place in the survey for that info, because you replaced it of course. they only want to hear about your current vacuum, not the one you replaced 6 months ago.. .  - auto reliability data is collected every year in early summer but full results are not published until 9 months later. the april auto issue is a tradition that makes no sense to me.. .  - auto models come out in september, but the annual auto issue is in april. tradition!. .  - the 'selling it' feature on the inside back-cover exposes typos and supposedly funny marketing mis-steps. please put this page out of its misery.. .  - the annual buying guide, which gets thinner every year, is a rehash of prior articles. but it's *very handy* because it's also an index of articles. used to be an 8-year index. then a 4-year index. this year (2012) they eliminated the past-issue index! (using the free portion of the cr web site to find past magazine articles is not easy.). . summary:. . consumer reports is a worthy cause. their general advice and lab tests can be really valuable, especially in certain product categories. their website is becoming quite impressive. consider subscribing to the cr site instead of the magazine (getting both is a steep $48/year).. . ~~~ comments & questions welcome ~~~",6,".
i've been a subscriber and enthusiastic supporter for over 30 years. shining the spotlight on product quality is a worthy mission and they have decades of excellence behind them.

as of 2012, i felt cr had really lost its way. cr seems to be on the rebound, but some of my disappointments still hold true.

examples:

  - their mailings are as bogus as the companies they spotlight. misleading early renewal notices, 'important news' emails that are pure promos, sweepstakes nonsense, etc. i've received over 12 'last notice' offers for website access.

 - amazon reviews are often more useful. 50x the number of products covered and sometimes more detailed insight and data on each product. (other products really need lab testing. cr excels at that.)

 - website entrance fee is out of line. $19/year for magazine subscribers ($12 first year teaser).

 - iphone 4 was rated 'unacceptable' due to the antenna issue that many other phones also had, and was easily solved with a bumper or case (which 90% of people use anyway).

 - reliability survey methods: seriously flawed. if your vacuum dies after 3 years, there is no place in the survey for that info, because you replaced it of course. they only want to hear about your current vacuum, not the one you replaced 6 months ago.

 - auto reliability data is collected every year in early summer but full results are not published until 9 months later. the april auto issue is a tradition that makes no sense to me.

 - auto models come out in september, but the annual auto issue is in april. tradition!

 - the 'selling it' feature on the inside back-cover exposes typos and supposedly funny marketing mis-steps. please put this page out of its misery.

 - the annual buying guide, which gets thinner every year, is a rehash of prior articles. but it's *very handy* because it's also an index of articles. used to be an 8-year index. then a 4-year index. this year (2012) they eliminated the past-issue index! (using the free portion of the cr web site to find past magazine articles is not easy.)

summary:

consumer reports is a worthy cause. their general advice and lab tests can be really valuable, especially in certain product categories. their website is becoming quite impressive. consider subscribing to the cr site instead of the magazine (getting both is a steep $48/year).

~~~ comments & questions welcome ~~~"
